date,time,name,flyer,url,host,city,region,source,style,labels
2026-01-05,20:30,Bachata Kurs,https://www2.salsa.ch/images/m/04/0460520dd64ba7d8efd43d77cb6d9795838b3bdbd7634d0d210c50e0e9350bce.jpg,https://www.latino.ch/venues/ritmo-latino-wohlen-16/events/2026-01-05,Ritmo Latino,Wohlen,Region Solothurn & Aarau,latino.ch,B|S,kurs
2026-01-05,20:30,Kizomba Wochenkurs in Luzern,https://www2.salsa.ch/images/m/d9/d9c62c2ac1f537db356793beee6326c4700d67dcbbe0ec2fa167d705a8f2ff93.jpg,https://www.latino.ch/venues/salsa-y-mas-tanzstudio-6010-kriens/events/2026-01-05,Salsa y mas Tanzstudio,6010 Kriens,Zentral Schweiz,latino.ch,B|K|S,kurs
2026-01-05,21:00,Bachata Beginner Kurs Luzern,https://www2.salsa.ch/images/m/02/025e88391604543d42901e22b5ade216d8a3e76079310e1919f6e15954589ea9.jpg,https://www.latino.ch/venues/bachata-flow-lucerne-dance-company-6015-luzern/events/2026-01-05,Bachata Flow - Lucerne Dance Company,6015 Luzern,Zentral Schweiz,latino.ch,B,kurs
2026-01-06,18:00,Salsa Anfänger Intensivkurs – 5 Tage,https://www2.salsa.ch/images/m/22/22b630e696f6e201322f1e54ac9b9c5152cd8edb28885d2a2b7210d3e96b3708.jpg,https://www.latino.ch/venues/kc-dance-studio-4051-basel/events/2026-01-06,KC dance studio,4051 Basel,Region Basel,latino.ch,B|S,kurs
2026-01-06,18:30,Bachata Starter Kurs Luzern,https://www2.salsa.ch/images/m/02/025e88391604543d42901e22b5ade216d8a3e76079310e1919f6e15954589ea9.jpg,https://www.latino.ch/venues/bachata-flow-lucerne-dance-company-6015-luzern/events/2026-01-06,Bachata Flow - Lucerne Dance Company,6015 Luzern,Zentral Schweiz,latino.ch,B,kurs
2026-01-06,19:00,Bachata Kurs,https://www2.salsa.ch/images/m/04/0460520dd64ba7d8efd43d77cb6d9795838b3bdbd7634d0d210c50e0e9350bce.jpg,https://www.latino.ch/venues/ritmo-latino-wohlen-16/events/2026-01-06,Ritmo Latino,Wohlen,Region Solothurn & Aarau,latino.ch,B|S,kurs
2026-01-06,19:00,Fiesta de la Salsa Mardis Fribourg,https://www2.salsa.ch/images/m/0e/0ec376952ac3ada07b7050545e0c8fb1f685235c9a8eeaf167a1748a679bdf21.jpg,https://www.latino.ch/events/fiesta-de-la-salsa-mardis-fribourg-2026-01-06-cafe-des-grand-places-1700-fribourg,Café des Grand-places,1700 Fribourg,Region Bern,latino.ch,B|S,kurs|party
2026-01-06,19:45,Bachata Beginner Kurs Luzern,https://www2.salsa.ch/images/m/02/025e88391604543d42901e22b5ade216d8a3e76079310e1919f6e15954589ea9.jpg,https://www.latino.ch/venues/bachata-flow-lucerne-dance-company-6015-luzern/events/2026-01-06,Bachata Flow - Lucerne Dance Company,6015 Luzern,Zentral Schweiz,latino.ch,B,kurs
2026-01-06,20:00,Bachata Anfänger Intensivkurs – 5 Tage,https://www2.salsa.ch/images/m/22/22b630e696f6e201322f1e54ac9b9c5152cd8edb28885d2a2b7210d3e96b3708.jpg,https://www.latino.ch/venues/kc-dance-studio-4051-basel/events/2026-01-06,KC dance studio,4051 Basel,Region Basel,latino.ch,B|S,kurs
2026-01-06,20:30,Salsa Kurs,https://www2.salsa.ch/images/m/04/0460520dd64ba7d8efd43d77cb6d9795838b3bdbd7634d0d210c50e0e9350bce.jpg,https://www.latino.ch/venues/ritmo-latino-wohlen-16/events/2026-01-06,Ritmo Latino,Wohlen,Region Solothurn & Aarau,latino.ch,B|S,kurs
